order_id,date,product,category,quantity,unit_price,total_sales,region
1001,2024-01-03,Laptop,Electronics,2,899.99,1799.98,North
1002,2024-01-05,Desk Chair,Furniture,4,249.99,999.96,South
1003,2024-01-07,Notebook,Supplies,20,3.99,79.80,East
1004,2024-01-10,Monitor,Electronics,3,349.99,1049.97,West
1005,2024-01-12,Stapler,Supplies,10,12.49,124.90,North
1006,2024-01-15,Standing Desk,Furniture,2,599.99,1199.98,East
1007,2024-01-18,Keyboard,Electronics,5,79.99,399.95,South
1008,2024-01-20,Printer Paper,Supplies,50,8.99,449.50,West
1009,2024-01-22,Webcam,Electronics,4,129.99,519.96,North
1010,2024-01-25,Bookshelf,Furniture,1,189.99,189.99,East
1011,2024-01-28,Mouse,Electronics,6,39.99,239.94,South
1012,2024-02-01,Whiteboard,Supplies,3,59.99,179.97,West
1013,2024-02-04,Tablet,Electronics,2,499.99,999.98,North
1014,2024-02-06,Filing Cabinet,Furniture,2,299.99,599.98,East
1015,2024-02-09,Pens (12-pack),Supplies,30,5.99,179.70,South
